(662, '1485669878845435905', '1358927095255232515', '$LUNA', datetime.datetime(2022, 1, 24, 17, 44, 36))
(199, '1485860839936897027', '1358714439583690753', '$MYRIAD', datetime.datetime(2022, 1, 25, 6, 23, 24))
(200, '1485760445772451842', '1358714439583690753', '$MYRIA', datetime.datetime(2022, 1, 24, 23, 44, 29))
(1979, '1483433331702251533', '1269095159192485896', '$avg', datetime.datetime(2022, 1, 18, 13, 37, 21))
(202, '1485656722681352198', '789201646685392896', '$wpokt', datetime.datetime(2022, 1, 24, 16, 52, 19))
(203, '1485656716121419784', '789201646685392896', '$POKT', datetime.datetime(2022, 1, 24, 16, 52, 17))
(204, '1485656683988848645', '789201646685392896', '$POKT', datetime.datetime(2022, 1, 24, 16, 52, 10))
(205, '1485656680344035329', '789201646685392896', '$POKT', datetime.datetime(2022, 1, 24, 16, 52, 9))
(206, '1484676916988755974', '789201646685392896', '$POKT', datetime.datetime(2022, 1, 21, 23, 58, 55))
(664, '1484290678347776000', '1408327331807039489', '$ANC', datetime.datetime(2022, 1, 20, 22, 24, 9))
(208, '1485645657293606913', '1253396172527546370', '$ATOM', datetime.datetime(2022, 1, 24, 16, 8, 21))
(209, '1485559162591494144', '1253396172527546370', '$ATOM', datetime.datetime(2022, 1, 24, 10, 24, 39))
(1980, '1485235577641648136', '1359776850579312642', '$ALPACA', datetime.datetime(2022, 1, 23, 12, 58, 50))
(211, '1484943684395274249', '1460718275214692358', '$jewel', datetime.datetime(2022, 1, 22, 17, 38, 57))
(212, '1483869767438159875', '1460718275214692358', '$Jewel', datetime.datetime(2022, 1, 19, 18, 31, 36))
(213, '1483508508482019331', '1460718275214692358', '$jewel', datetime.datetime(2022, 1, 18, 18, 36, 5))
(666, '1485846030835150849', '257846146', '$LUNA', datetime.datetime(2022, 1, 25, 5, 24, 34))
(215, '1485604935773401099', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 24, 13, 26, 32))
(216, '1485346639883739139', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 23, 20, 20, 10))
(217, '1485307527038390275', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 23, 17, 44, 44))
(218, '1485177406327607298', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 23, 9, 7, 41))
(219, '1484503937508155393', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 21, 12, 31, 34))
(220, '1484503124442333184', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 21, 12, 28, 20))
(221, '1484233620206366720', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 20, 18, 37, 25))
(222, '1483755065508777985', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 19, 10, 55, 49))
(223, '1483469139779985418', '1011572728409845760', '$CWAR', datetime.datetime(2022, 1, 18, 15, 59, 39))
(224, '1484683354834608130', '866773395995807745', '$ASH', datetime.datetime(2022, 1, 22, 0, 24, 30))
(225, '1484067236948197377', '866773395995807745', '$RNDR', datetime.datetime(2022, 1, 20, 7, 36, 16))
(226, '1483521107952947200', '1170153611499720704', '$PUNK', datetime.datetime(2022, 1, 18, 19, 26, 9))
(667, '1485788912958439427', '257846146', '$UST', datetime.datetime(2022, 1, 25, 1, 37, 36))
(228, '1484637480540418048', '1151932521401212929', '$JEWEL', datetime.datetime(2022, 1, 21, 21, 22, 13))
(229, '1484366740595245058', '1151932521401212929', '$ADA', datetime.datetime(2022, 1, 21, 3, 26, 23))
(230, '1484344643223314440', '1151932521401212929', '$BTC', datetime.datetime(2022, 1, 21, 1, 58, 35))
(231, '1483543140011237378', '1151932521401212929', '$ADA', datetime.datetime(2022, 1, 18, 20, 53, 42))
(232, '1485867341233762315', '939041600524771328', '$YFI', datetime.datetime(2022, 1, 25, 6, 49, 14))
(233, '1485518557488332800', '939041600524771328', '$TRIBE', datetime.datetime(2022, 1, 24, 7, 43, 18))
(234, '1484348401353310214', '711676054662832128', '$oct', datetime.datetime(2022, 1, 21, 2, 13, 31))
(235, '1483887546149085197', '711676054662832128', '$GRT', datetime.datetime(2022, 1, 19, 19, 42, 14))
(236, '1484184714667724803', '1394270166599585798', '$MATIC', datetime.datetime(2022, 1, 20, 15, 23, 5))
(237, '1483994844099846429', '1394270166599585798', '$MATIC', datetime.datetime(2022, 1, 20, 2, 48, 36))
(1981, '1485075978577661956', '1359776850579312642', '$ALPACA', datetime.datetime(2022, 1, 23, 2, 24, 39))
(239, '1485735815259037713', '905566160044920832', '$LINK', datetime.datetime(2022, 1, 24, 22, 6, 36))
(669, '1485466423439007746', '1432515552472276995', '$TPIN', datetime.datetime(2022, 1, 24, 4, 16, 8))
(241, '1485629822370029568', '1426393485201059841', '$ONE', datetime.datetime(2022, 1, 24, 15, 5, 25))
(242, '1485007961156112395', '1426393485201059841', '$AVAX', datetime.datetime(2022, 1, 22, 21, 54, 22))
(1982, '1484557630492508162', '1359776850579312642', '$ALPACA', datetime.datetime(2022, 1, 21, 16, 4, 55))
(244, '1485373307247603718', '14527699', '$mstr', datetime.datetime(2022, 1, 23, 22, 6, 8))
(245, '1485726274077491202', '1099758059289800709', '$SCO', datetime.datetime(2022, 1, 24, 21, 28, 41))
